Season: 2008
SC Ganguly: {'runs_played': 349, 'balls_played': 324, 'strike_rate': 107.72}
BB McCullum: {'runs_played': 188, 'balls_played': 96, 'strike_rate': 195.83}
RT Ponting: {'runs_played': 39, 'balls_played': 53, 'strike_rate': 73.58}
DJ Hussey: {'runs_played': 319, 'balls_played': 267, 'strike_rate': 119.48}
Mohammad Hafeez: {'runs_played': 64, 'balls_played': 84, 'strike_rate': 76.19}
R Dravid: {'runs_played': 371, 'balls_played': 299, 'strike_rate': 124.08}
W Jaffer: {'runs_played': 115, 'balls_played': 110, 'strike_rate': 104.55}
V Kohli: {'runs_played': 165, 'balls_played': 168, 'strike_rate': 98.21}
JH Kallis: {'runs_played': 199, 'balls_played': 188, 'strike_rate': 105.85}
CL White: {'runs_played': 114, 'balls_played': 105, 'strike_rate': 108.57}
MV Boucher: {'runs_played': 225, 'balls_played': 181, 'strike_rate': 124.31}
B Akhil: {'runs_played': 46, 'balls_played': 32, 'strike_rate': 143.75}
AA Noffke: {'runs_played': 9, 'balls_played': 12, 'strike_rate': 75.0}
P Kumar: {'runs_played': 112, 'balls_played': 100, 'strike_rate': 112.0}
Z Khan: {'runs_played': 34, 'balls_played': 43, 'strike_rate': 79.07}
SB Joshi: {'runs_played': 6, 'balls_played': 16, 'strike_rate': 37.5}
PA Patel: {'runs_played': 302, 'balls_played': 315, 'strike_rate': 95.87}
ML Hayden: {'runs_played': 189, 'balls_played': 135, 'strike_rate': 140.0}
MEK Hussey: {'runs_played': 168, 'balls_played': 100, 'strike_rate': 168.0}
MS Dhoni: {'runs_played': 414, 'balls_played': 319, 'strike_rate': 129.78}
SK Raina: {'runs_played': 421, 'balls_played': 304, 'strike_rate': 138.49}
JDP Oram: {'runs_played': 18, 'balls_played': 13, 'strike_rate': 138.46}
S Badrinath: {'runs_played': 192, 'balls_played': 138, 'strike_rate': 139.13}
K Goel: {'runs_played': 76, 'balls_played': 79, 'strike_rate': 96.2}
JR Hopes: {'runs_played': 221, 'balls_played': 152, 'strike_rate': 145.39}
KC Sangakkara: {'runs_played': 320, 'balls_played': 207, 'strike_rate': 154.59}
Yuvraj Singh: {'runs_played': 299, 'balls_played': 191, 'strike_rate': 156.54}
